top - 10:04:49 up 11 min,  1 user,  load average: 8.62, 6.77, 3.38
Tasks: 426 total,   2 running, 423 sleeping,   0 stopped,   1 zombie
%Cpu(s): 42.1 us, 11.1 sy,  0.0 ni, 46.1 id,  0.0 wa,  0.0 hi,  0.7 si,  0.0 st
MiB Mem :  31797.5 total,  22582.8 free,   4084.2 used,   5130.6 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  27283.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 216759 root      20   0 5267452 693364 402016 S 200.0   2.1   1:21.23 ruby
 216758 root      20   0 5447968 741972 524796 R 150.0   2.3   0:55.14 ruby
 223821 user      20   0 1639336 198688 146880 S  44.4   0.6   0:11.81 rviz2
 216672 root      20   0  957772  37780  27396 S  27.8   0.1   0:10.17 paramet+
 223805 user      20   0 1175724  46404  26412 S  27.8   0.1   0:06.47 control+
 223809 user      20   0 1248188  45948  25644 S  27.8   0.1   0:05.49 planner+
   2474 user      20   0 4638936 409048 150904 S  22.2   1.3   1:25.84 gnome-s+
 216684 root      20   0  843872  24628  13016 S  22.2   0.1   0:07.42 scan_to+
 223813 user      20   0  741116  47560  27288 S  22.2   0.1   0:04.99 bt_navi+
 223819 user      20   0  870056  33992  20264 S  22.2   0.1   0:04.72 lifecyc+
 223823 user      20   0  949892  40008  23584 S  22.2   0.1   0:05.62 amcl
 216541 root      20   0 1021780  41272  20380 S  16.7   0.1   0:05.71 sync_sl+
 223799 user      20   0 1059240  63304  27992 S  16.7   0.2   0:04.70 async_s+
 223807 user      20   0  874788  37128  23216 S  16.7   0.1   0:03.81 smoothe+
 223815 user      20   0  723840  33856  20972 S  16.7   0.1   0:03.52 waypoin+
 223825 user      20   0  869264  32140  20420 S  16.7   0.1   0:03.12 lifecyc+
   2151 user      20   0   25.6g 218852 124300 S  11.1   0.7   0:43.69 Xorg
 216682 root      20   0  774040  23832  14604 S  11.1   0.1   0:05.19 ekf_node
 223817 user      20   0  721820  31900  19980 S  11.1   0.1   0:03.22 velocit+
     18 root      rt   0       0      0      0 S   5.6   0.0   0:01.89 migrati+
    129 root      20   0       0      0      0 I   5.6   0.0   0:00.40 kworker+
    660 systemd+  20   0   14836   6876   6040 S   5.6   0.0   0:01.12 systemd+
   3292 root       0 -20       0      0      0 D   5.6   0.0   0:01.84 kworker+
   4952 user      20   0 2686388 173728 106012 S   5.6   0.5   0:10.43 Isolate+
 216677 root      20   0  623960  21356  12984 S   5.6   0.1   0:03.00 robot_s+
 223801 user      20   0  789084  36488  24492 S   5.6   0.1   0:02.42 map_ser+
 223803 user      20   0  869348  31452  19976 S   5.6   0.1   0:02.47 lifecyc+
 223811 user      20   0  735144  41520  26336 S   5.6   0.1   0:02.32 behavio+
 240867 user      20   0   16208   4392   3368 R   5.6   0.0   0:00.03 top
      1 root      20   0  168152  13560   8356 S   0.0   0.0   0:02.91 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:01.31 rcu_pre+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:01.09 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     25 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftir+
