source_file,snapshot_index,timestamp,uptime_text,uptime_minutes,users,load1,load5,load15,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total_mib,mem_free_mib,mem_used_mib,mem_buff_cache_mib,swap_total_mib,swap_free_mib,swap_used_mib,swap_avail_mib,pid,user,pr,ni,virt,res,shr,state,cpu_pct,mem_pct,time_plus,command
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,3182,user,20,0,10.8g,2.7g,734828,S,200.0,8.6,0:26.88,Editor
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,540,root,0,-20,0,0,0,D,6.7,0.0,0:01.31,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,723,root,20,0,0,0,0,S,6.7,0.0,0:02.34,nvidia-+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,1614,user,20,0,25.6g,223500,138632,S,6.7,0.7,0:20.04,Xorg
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,1919,user,20,0,4531292,359732,150460,S,6.7,1.1,0:31.25,gnome-s+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,1,root,20,0,166700,11964,8420,S,0.0,0.0,0:01.06,systemd
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,2,root,20,0,0,0,0,S,0.0,0.0,0:00.00,kthreadd
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,3,root,20,0,0,0,0,S,0.0,0.0,0:00.00,pool_wo+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,4,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,5,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,6,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,7,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,8,root,20,0,0,0,0,I,0.0,0.0,0:00.04,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,9,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,10,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,11,root,20,0,0,0,0,I,0.0,0.0,0:00.38,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,12,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,13,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_tas+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,14,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_tas+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,15,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_tas+
O3DE_Vacio_3.txt,1,10:15:50,11 min,11,1,2.16,1.88,0.98,368,1,365,0,2,12.2,1.2,0.0,86.5,0.0,0.0,0.0,0.0,31797.6,25127.9,4145.1,2524.5,,,,,16,root,20,0,0,0,0,S,0.0,0.0,0:00.04,ksoftir+
