top - 18:45:12 up 39 min,  1 user,  load average: 6.22, 5.86, 5.25
Tasks: 407 total,   4 running, 403 sleeping,   0 stopped,   0 zombie
%Cpu(s): 30.9 us,  8.1 sy,  0.0 ni, 60.7 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
MiB Mem :  31797.6 total,  22535.6 free,   4189.9 used,   5072.1 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  27240.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1060623 root      20   0 5736296 702036 408500 R 252.9   2.2   1:01.24 ruby
1060622 root      20   0 5447944 737976 524368 R 170.6   2.3   0:38.11 ruby
1060520 root      20   0 1282732 236432 126360 S  23.5   0.7   0:06.01 rviz2
1060548 root      20   0  843876  20900  12892 S  23.5   0.1   0:04.57 scan_to+
1060405 root      20   0 1021892  38416  20412 S  17.6   0.1   0:03.20 sync_sl+
1060536 root      20   0  957744  34676  27396 S  17.6   0.1   0:04.72 paramet+
1060545 root      20   0  773012  19968  14776 S  17.6   0.1   0:02.98 ekf_node
   2051 user      20   0   25.6g 218284 113716 R  11.8   0.7   2:37.89 Xorg
   2361 user      20   0 4686416 393268 150612 S  11.8   1.2   3:43.72 gnome-s+
1060541 root      20   0  622936  17468  12892 S  11.8   0.1   0:01.74 robot_s+
1074659 user      20   0 1373480  62952  28908 S  11.8   0.2   0:01.92 ros2
1076986 user      20   0   16208   4392   3396 R  11.8   0.0   0:00.04 top
     53 root      rt   0       0      0      0 S   5.9   0.0   0:17.16 migrati+
     71 root      rt   0       0      0      0 S   5.9   0.0   0:04.32 migrati+
    566 root       0 -20       0      0      0 I   5.9   0.0   0:05.98 kworker+
   2498 user      20   0  392088  12416   7008 S   5.9   0.0   0:07.14 ibus-da+
  13562 user      20   0  902840  64416  41308 S   5.9   0.2   0:27.82 gnome-t+
      1 root      20   0  166856  12200   8368 S   0.0   0.0   0:01.80 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.25 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:06.59 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:04.56 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:03.46 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.19 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:02.64 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:02.17 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftir+
     37 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:01.98 migrati+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftir+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     47 root      rt   0       0      0      0 S   0.0   0.0   0:01.80 migrati+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftir+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.64 ksoftir+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     59 root      rt   0       0      0      0 S   0.0   0.0   0:08.88 migrati+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.65 ksoftir+
