top - 18:48:54 up 42 min,  1 user,  load average: 7.41, 6.96, 5.87
Tasks: 409 total,   4 running, 405 sleeping,   0 stopped,   0 zombie
%Cpu(s): 29.4 us,  7.0 sy,  0.0 ni, 62.9 id,  0.0 wa,  0.0 hi,  0.7 si,  0.0 st
MiB Mem :  31797.6 total,  22528.2 free,   4194.4 used,   5075.0 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  27236.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1207688 root      20   0 5736288 700980 408344 S 241.2   2.2   0:31.03 ruby
1207686 root      20   0 5445996 735364 522688 S 141.2   2.3   0:18.45 ruby
   2361 user      20   0 4686416 393368 150612 S  17.6   1.2   4:18.27 gnome-s+
1207585 root      20   0 1282860 236636 126228 R  17.6   0.7   0:03.25 rviz2
1207601 root      20   0  957748  34752  27576 S  17.6   0.1   0:02.41 paramet+
   2051 user      20   0   25.6g 218296 113716 R  11.8   0.7   2:59.86 Xorg
1207611 root      20   0  773016  19896  14828 S  11.8   0.1   0:01.47 ekf_node
1207613 root      20   0  843892  20736  12760 S  11.8   0.1   0:02.35 scan_to+
1214565 user      20   0 1373616  63144  29016 S  11.8   0.2   0:01.82 ros2
1215891 user      20   0   16208   4384   3384 R  11.8   0.0   0:00.03 top
     65 root      rt   0       0      0      0 S   5.9   0.0   0:06.63 migrati+
   2703 user      20   0  166344   7648   6776 S   5.9   0.0   0:02.32 ibus-en+
1207469 root      20   0 1021888  38224  20236 S   5.9   0.1   0:01.64 sync_sl+
1207606 root      20   0  622936  17408  12960 S   5.9   0.1   0:00.92 robot_s+
      1 root      20   0  166856  12200   8368 S   0.0   0.0   0:01.85 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
