top - 18:23:42 up 17 min,  1 user,  load average: 6.73, 6.66, 4.00
Tasks: 404 total,   2 running, 402 sleeping,   0 stopped,   0 zombie
%Cpu(s): 26.8 us,  7.1 sy,  0.0 ni, 65.4 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  31797.6 total,  22758.8 free,   4051.7 used,   4987.1 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  27376.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 422684 root      20   0 5737968 701852 408440 S 243.8   2.2   0:15.96 ruby
 422683 root      20   0 5445924 735404 522448 S 156.2   2.3   0:09.28 ruby
 422568 root      20   0 1278912 231860 122396 S  25.0   0.7   0:01.89 rviz2
 422597 root      20   0  957776  34496  27532 S  18.8   0.1   0:01.27 paramet+
 422609 root      20   0  843836  19532  13056 S  18.8   0.1   0:01.19 scan_to+
   2051 user      20   0   25.6g 213328 113708 R  12.5   0.7   1:11.84 Xorg
   2361 user      20   0 4684000 388040 150608 S  12.5   1.2   1:38.72 gnome-s+
 422465 root      20   0 1021932  37592  20280 S  12.5   0.1   0:00.89 sync_sl+
 422607 root      20   0  773008  19728  14900 S  12.5   0.1   0:00.78 ekf_node
    288 root      20   0       0      0      0 I   6.2   0.0   0:00.39 kworker+
 422602 root      20   0  622932  17212  12900 S   6.2   0.1   0:00.48 robot_s+
 426779 user      20   0   16208   4396   3396 R   6.2   0.0   0:00.01 top
      1 root      20   0  166856  12200   8368 S   0.0   0.0   0:01.51 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:02.88 rcu_pre+
