top - 19:29:27 up 38 min,  1 user,  load average: 7.82, 2.25, 0.83
Tasks: 423 total,   3 running, 420 sleeping,   0 stopped,   0 zombie
%Cpu(s): 59.8 us,  5.7 sy,  0.0 ni, 33.7 id,  0.4 wa,  0.0 hi,  0.4 si,  0.0 st
MiB Mem :  31797.6 total,  20935.5 free,   4320.4 used,   6541.6 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  25909.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8528 root      20   0 7355012 585816 168504 S 506.2   1.8   4:38.95 ruby
   8527 root      20   0 7454332 521340 162184 R 181.2   1.6   1:34.35 ruby
  35307 root      20   0  741380  24764  18888 R 125.0   0.1   0:00.20 map_sav+
  35280 root      20   0   20788  16144   6688 S  37.5   0.0   0:00.06 ros2
  22677 user      20   0 4140628 202996 145588 S  18.8   0.6   0:04.92 rviz2
   8410 root      20   0  957776  37652  27236 S  12.5   0.1   0:05.27 paramet+
   8422 root      20   0  843848  24912  13028 S  12.5   0.1   0:04.07 scan_to+
  22663 user      20   0  874764  37080  23176 S  12.5   0.1   0:01.67 smoothe+
  22679 user      20   0  950124  39920  23440 S  12.5   0.1   0:02.29 amcl
    439 root      20   0       0      0      0 I   6.2   0.0   0:01.06 kworker+
   2119 user      20   0   26.7g 190760 127796 S   6.2   0.6   0:22.44 Xorg
   2398 user      20   0 6918936 318284 149828 S   6.2   1.0   0:26.84 gnome-s+
   6058 user      20   0 3605412 540908 262128 S   6.2   1.7   0:33.00 firefox
   6867 user      20   0  899692  60816  41084 S   6.2   0.2   0:07.87 gnome-t+
   8101 root      20   0 1021924  42140  20280 S   6.2   0.1   0:02.89 sync_sl+
   8420 root      20   0  773020  23100  14708 S   6.2   0.1   0:02.62 ekf_node
  22655 user      20   0 1059332  63304  27952 S   6.2   0.2   0:01.81 async_s+
  22659 user      20   0  869208  31500  20144 S   6.2   0.1   0:00.98 lifecyc+
