source_file,snapshot_index,timestamp,uptime_text,uptime_minutes,users,load1,load5,load15,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total_mib,mem_free_mib,mem_used_mib,mem_buff_cache_mib,swap_total_mib,swap_free_mib,swap_used_mib,swap_avail_mib,pid,user,pr,ni,virt,res,shr,state,cpu_pct,mem_pct,time_plus,command
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,12501,root,20,0,5337092,698248,406532,S,252.9,2.1,1:13.36,ruby
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,12500,root,20,0,5446944,741380,524680,R,164.7,2.3,0:49.51,ruby
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,18377,user,20,0,1713092,198880,146872,S,52.9,0.6,0:10.91,rviz2
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,18365,user,20,0,1248668,46112,25400,S,35.3,0.1,0:05.74,planner+
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,2474,user,20,0,4635352,383376,150900,R,29.4,1.2,0:27.78,gnome-s+
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,12413,root,20,0,957776,37812,27444,S,29.4,0.1,0:09.52,paramet+
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,18361,user,20,0,1176044,46184,26140,S,29.4,0.1,0:06.17,control+
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,18379,user,20,0,949972,39764,23628,S,23.5,0.1,0:05.21,amcl
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,18381,user,20,0,869260,31896,20088,S,23.5,0.1,0:03.38,lifecyc+
Gazebo_1.txt,1,09:59:20,6 min,6,1,7.08,2.22,0.85,428,3,424,0,1,45.1,13.7,0.0,40.3,0.0,0.0,1.0,0.0,31797.5,22686.0,4015.0,5096.6,,,,,12423,root,20,0,773012,23240,14792,S,17.6,0.1,0:04.79,ekf_node
