top - 13:16:00 up  1:46,  1 user,  load average: 4.46, 3.46, 2.81
Tasks: 398 total,   1 running, 396 sleeping,   0 stopped,   1 zombie
%Cpu(s): 21.2 us,  3.3 sy,  0.0 ni, 75.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  31797.6 total,  18327.2 free,   5461.5 used,   8008.9 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  25797.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 305747 user      20   0   11.4g   3.1g 720864 S 229.4  10.0   2:52.42 Editor
 306020 user      20   0 1587732 216308 152980 S  17.6   0.7   0:14.30 rviz2
   2048 user      20   0   25.7g 301212 151416 S  11.8   0.9   5:01.52 Xorg
   2371 user      20   0 4856908 538640 151020 S  11.8   1.7   7:05.12 gnome-s+
 306006 user      20   0  810212  36260  23260 S  11.8   0.1   0:03.28 smoothe+
 306012 user      20   0  676164  46300  27396 S  11.8   0.1   0:04.33 bt_navi+
 305998 user      20   0  994568  63980  28032 S   5.9   0.2   0:02.37 async_s+
 306004 user      20   0 1110948  43728  26516 S   5.9   0.1   0:04.25 control+
 306008 user      20   0 1184372  44212  25876 S   5.9   0.1   0:03.95 planner+
 306010 user      20   0  670200  40420  26384 S   5.9   0.1   0:03.54 behavio+
 306018 user      20   0  804996  32844  20360 S   5.9   0.1   0:04.37 lifecyc+
 306022 user      20   0  886572  40648  23872 S   5.9   0.1   0:03.80 amcl
 306024 user      20   0  804316  30700  20396 S   5.9   0.1   0:02.30 lifecyc+
 306651 user      20   0   16208   4356   3368 R   5.9   0.0   0:00.03 top
      1 root      20   0  166888  12276   8388 S   0.0   0.0   0:01.90 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.61 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:04.54 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:04.25 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:02.88 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:01.85 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:01.56 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.13 ksoftir+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:02.00 migrati+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftir+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     47 root      rt   0       0      0      0 S   0.0   0.0   0:01.72 migrati+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftir+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
